date,Cases,Deaths,Cases_hw_tes_mul-mul,Cases_predict_hw_tes_mul,Cases_hw_tes_add-add,Cases_predict_hw_tes_add,Deaths_hw_tes_mul,Deaths_predict_hw_tes_mul,Deaths_hw_tes_add,Deaths_predict_hw_tes_add,Cases_predict_ar,Deaths_predict_ar
2020-05-22,154500.0,4276.0,153530.0180357271,,154338.43300157157,,4276.042077837199,,4268.984404559298,,153528.65681858768,4397.650779662195
2020-05-23,155686.0,4308.0,155687.62327084746,,155560.65886407899,,4308.442606814963,,4301.8289967900055,,154104.74412144933,4447.259961768492
2020-05-24,156827.0,4340.0,156338.15305842448,,156685.1152888604,,4341.293543435569,,4334.220459710764,,154562.00152583796,4497.05894651233
2020-05-25,157814.0,4369.0,157275.639799259,,157686.5357305664,,4366.738657811483,,4364.234247778263,,154900.2700319154,4548.99382815406
2020-05-26,158762.0,4397.0,158529.92317852285,,158609.33246905202,,4361.055279526282,,4393.672582320944,,155127.7806060725,4602.3208994590195
2020-05-27,159797.0,4431.0,160182.93647276214,,159664.94382262364,,4265.913362534992,,4428.108869166683,,155203.75883016657,4657.600166336692
2020-05-28,160979.0,4461.0,160825.16620338333,,160868.40447982925,,3939.6119081076504,,4458.717308333269,,155143.91847754916,4713.795856404085
2020-05-29,162120.0,4489.0,161355.28706746383,,162051.69541633016,,3069.742936350437,,4487.101748141698,,154951.63649848086,4770.923421208971
2020-05-30,163103.0,4515.0,162391.81151283623,,163063.04427738558,,3187.3717181195766,,4512.401592580512,,154633.65415614116,4829.23956553028
2020-05-31,163942.0,4540.0,162652.1111634296,162652.13587406106,163925.21171843752,163925.21171843752,4540.861468411723,4540.861468411723,4538.810016490322,4538.810016490322,154171.91351309823,4889.00336959011
2020-06-01,,,,163502.42808553312,,164892.82630261424,,175.17274619467022,,4562.540539999776,153568.5164204166,4950.898286220681
2020-06-02,,,,163692.5705371167,,165855.66261480318,,62.77371097293163,,4586.631418600335,152825.04724705114,5014.805779893346
2020-06-03,,,,163949.5394417591,,166868.24973694896,,96.29387307843416,,4613.09172453344,151945.92779459764,5080.928084019749
2020-06-04,,,,165482.48873736936,,167980.8416320896,,214.4409157950761,,4642.795805610444,150923.83011183672,5148.922097572131
2020-06-05,,,,165703.76815571354,,169216.76863516797,,339.18454344824954,,4677.196509321403,149757.6687995573,5218.830853578063
2020-06-06,,,,166101.38717783024,,170612.71014042932,,441.90693033179343,,4716.655660050499,148447.64703488545,5290.708927849621
2020-06-07,,,,166817.70406715941,,172220.5279211669,,544.0894282124223,,4762.283402100891,146996.3132961105,5364.71601334381
2020-06-08,,,,168048.34484751435,,174121.18500799767,,747.2788711084617,,4816.725195714096,145401.12310015754,5441.091767290513
2020-06-09,,,,168433.32219159548,,176169.81252329348,,966.26094573976,,4884.355566256221,143661.03120390495,5519.848990221843
2020-06-10,,,,168577.78384414825,,178439.6072470345,,1199.685543182584,,4954.80246938864,141775.89196009756,5601.059284234874
2020-06-11,,,,169070.47100276971,,180939.13996874855,,1420.3638992751237,,5029.006861576227,139747.20503196787,5684.611034157635
2020-06-12,,,,168754.43108491768,,183724.66062450764,,1733.1937915020587,,5108.938707501339,137574.52188744693,5770.520701001755
2020-06-13,,,,168852.08290986635,,186949.49294454185,,2232.10332949215,,5202.6146107414315,135257.56420999242,5858.795287357823
2020-06-14,,,,168634.32764947772,,191040.63437035028,,2851.7130833743186,,5303.639457034017,132796.46483717472,5949.504595410122
2020-06-15,,,,168516.78622744046,,196242.8904476142,,3698.941722380372,,5411.979188066927,130192.37603080849,6042.727237269864
2020-06-16,,,,169736.7680464316,,201335.57062708033,,4760.855606137527,,5526.1374106672465,127445.85860861492,6138.47991988854
2020-06-17,,,,169635.3827613888,,206817.4050609219,,5689.47743406181,,5653.902234098567,124557.41821311825,6236.78057207148
2020-06-18,,,,169738.9345222627,,212373.70415875406,,6711.764674565497,,5801.99164543911,121527.7234006061,6337.586551003813
2020-06-19,,,,170189.83276638715,,219283.4983841327,,7693.65886525648,,5965.520427753092,118358.03327641313,6440.894218203923
2020-06-20,,,,171184.1591134809,,225889.4461453656,,8702.057979263152,,6152.271352104534,115049.53935916089,6546.695181544224
2020-06-21,,,,171334.82887165732,,233011.00049765815,,9723.558379069249,,6360.86422415872,111603.42649291724,6655.009523498529
2020-06-22,,,,171258.79611051196,,240662.31503473257,,10892.325598653819,,6565.2323800050735,108020.96513505228,6765.856243590034
2020-06-23,,,,171552.9796082079,,248719.54732881748,,12181.615194601593,,6781.968748522324,104303.76915568812,6879.238442221084
2020-06-24,,,,171042.25558561287,,257076.09068883635,,13497.56162462198,,7000.322669900192,100453.55757312578,6995.15376710716
2020-06-25,,,,170965.75161868788,,265624.99293160404,,14773.099254822266,,7225.449819423323,96472.11441676217,7113.580635084278
2020-06-26,,,,170583.52807179146,,275099.3960745036,,16075.336980663922,,7456.138449245841,92361.30590215592,7234.509013892613
2020-06-27,,,,170315.44770479872,,284991.9359096571,,17390.88243488051,,7702.316548678163,88123.21661327283,7357.928311113288
2020-06-28,,,,171409.75472339804,,295026.5434995529,,18827.11103585107,,7962.4920276119865,83760.0777716013,7483.840290422093
2020-06-29,,,,171179.41622920218,,305976.44347118837,,20370.62700163886,,8229.58242805879,79274.22856593743,7612.246625824961
2020-06-30,,,,171165.71727001853,,317539.1843142455,,22048.2864379883,,8499.101939105763,74668.1058300318,7743.146150892484
